City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ceeldheer,3.8488,47.1806,300.08,80,91,3.09,SO,1697682923
84,plettenberg bay,-34.0527,23.3716,288.08,91,19,2.12,ZA,1697682923
85,longyearbyen,78.2186,15.6401,277.06,75,75,11.83,SJ,1697682632
86,bilibino,68.0546,166.4372,255.35,97,62,1.2,RU,1697682655
87,udachny,66.4167,112.4,262.29,85,99,2.12,RU,1697682636
88,evinayong,1.4368,10.5512,291.71,99,98,1.26,GQ,1697682923
89,dores do indaia,-19.4633,-45.6017,297.38,65,87,1.24,BR,1697682923
90,changji,44.0167,87.3167,283.59,46,0,1.0,CN,1697682923
91,lakshettipet,18.8667,79.2167,299.72,69,5,1.27,IN,1697682924
92,college,64.8569,-147.8028,271.12,77,75,2.57,US,1697682642
93,onega,63.9061,38.1404,274.12,77,82,4.92,RU,1697682924
94,qaqortoq,60.7167,-46.0333,271.76,57,52,1.24,GL,1697682624
95,port moresby,-9.4431,147.1797,301.83,74,75,5.14,PG,1697682924
96,iqaluit,63.7506,-68.5145,272.0,100,100,3.6,CA,1697682625
97,papatowai,-46.5619,169.4708,290.06,51,85,6.84,NZ,1697682626
98,launceston,-41.45,147.1667,294.95,46,100,6.69,AU,1697682925
99,ushuaia,-54.8,-68.3,285.96,93,0,4.47,AR,1697682617
100,dunda,-8.1167,34.25,292.6,75,11,2.09,TZ,1697682925
101,north bondi,-33.8824,151.2769,295.56,51,75,3.09,AU,1697682925
102,bredasdorp,-34.5322,20.0403,288.29,92,5,5.93,ZA,1697682624
103,lautoka,-17.6167,177.4667,303.07,58,40,5.66,FJ,1697682925
104,talnakh,69.4865,88.3972,277.71,100,100,5.59,RU,1697682624
105,mont-dore,-22.2833,166.5833,299.14,56,0,4.35,NC,1697682925
106,klaksvik,62.2266,-6.589,282.66,87,82,14.43,FO,1697682926
107,shizunai-furukawacho,42.3339,142.3669,288.92,89,100,4.18,JP,1697682686
108,ilulissat,69.2167,-51.1,265.16,73,75,2.57,GL,1697682364
109,cannonvale,-20.2833,148.7,297.81,58,63,7.5,AU,1697682708
110,utrik,11.2278,169.8474,301.48,70,90,8.05,MH,1697682623
111,ankang,32.68,109.0172,285.83,94,100,1.27,CN,1697682926
112,east london,-33.0153,27.9116,291.57,80,41,4.79,ZA,1697682390
113,ain touta,35.3768,5.9,290.75,35,7,1.93,DZ,1697682926
114,susuman,62.7833,148.1667,259.81,76,99,0.45,RU,1697682698
115,namdrik,5.5994,168.1028,300.53,76,100,8.46,MH,1697682927
116,hithadhoo,-0.6,73.0833,300.16,78,64,3.9,MV,1697682632
117,seguela,7.9611,-6.6731,295.38,96,100,0.96,CI,1697682927
118,remire-montjoly,4.9167,-52.2667,297.17,100,0,0.0,GF,1697682455
119,genhe,50.7833,121.5167,276.07,34,31,5.44,CN,1697682927
120,perry,37.2506,-83.1999,286.55,74,32,1.76,US,1697682927
121,dereli,40.7378,38.4493,286.24,92,100,1.23,TR,1697682927
122,ciudad lazaro cardenas,17.9583,-102.2,296.49,94,100,2.99,MX,1697682928
123,karratha,-20.7377,116.8463,309.87,15,0,1.19,AU,1697682634
124,keningau,5.3378,116.1602,304.43,58,97,0.87,MY,1697682928
125,georgetown,5.4112,100.3354,302.12,79,20,2.57,MY,1697682622
126,tiksi,71.6872,128.8694,267.74,96,100,3.16,RU,1697682626
127,tyukalinsk,55.8732,72.1967,278.91,69,80,5.17,RU,1697682928
128,greenville,35.6127,-77.3663,287.11,90,75,0.0,US,1697682928
129,tabuk,17.4189,121.4443,302.62,67,81,1.07,PH,1697682928
130,lebu,-37.6167,-73.65,282.67,89,22,1.04,CL,1697682642
131,greymouth,-42.4667,171.2,285.99,69,51,3.41,NZ,1697682929
132,ulladulla,-35.35,150.4667,299.13,24,0,2.42,AU,1697682658
133,san pedro pochutla,15.7333,-96.4667,296.47,87,100,1.65,MX,1697682929
134,urengoy,65.9667,78.3667,278.77,94,100,5.36,RU,1697682682
135,rio claro,-22.4114,-47.5614,292.11,80,33,5.08,BR,1697682929
136,brajarajnagar,21.8167,83.9167,298.75,68,0,1.96,IN,1697682929
137,banda aceh,5.5577,95.3222,300.45,76,100,0.46,ID,1697682929
138,tadine,-21.55,167.8833,295.74,60,2,6.72,NC,1697682930
139,laibin,23.7,109.2667,296.86,85,100,2.29,CN,1697682930
140,kodiak,57.79,-152.4072,281.88,43,0,11.32,US,1697682633
141,khenchela,35.4358,7.1433,290.68,29,40,3.27,DZ,1697682930
142,fiche,9.8,38.7333,281.47,78,36,1.44,ET,1697682930
143,kapa'a,22.0752,-159.319,304.14,64,0,4.63,US,1697682658
144,howard springs,-12.497,131.047,308.1,58,2,5.97,AU,1697682712
145,meknes,33.9776,-5.525,289.64,82,0,3.6,MA,1697682930
